3039154;El Tarter;AD;02
3039163;Sant Julià de Lòria;AD;06
3039604;Pas de la Casa;AD;03
3039678;Ordino;AD;05
3040051;les Escaldes;AD;08
3040132;la Massana;AD;04
3040686;Encamp;AD;03
3041204;Canillo;AD;02
3041519;Arinsal;AD;04
3041563;Andorra la Vella;AD;07
290503;Warīsān;AE;03
290594;Umm Al Quwain City;AE;07
291074;Ras Al Khaimah City;AE;05
291279;Muzayri‘;AE;01
291339;Murbaḩ;AE;06
291489;Maşfūţ;AE;02
291580;Zayed City;AE;01
291696;Khawr Fakkān;AE;06
291763;Kalbā;AE;06
291775;Jumayrā;AE;03
292223;Dubai;AE;03
292231;Dibba Al-Fujairah;AE;04
292239;Dibba Al-Hisn;AE;04
292672;Sharjah;AE;06
292688;Ar Ruways;AE;01
292799;Al Manāmah;AE;02
292856;Al Ḩamrīyah;AE;06
292862;Ḩattā;AE;03
292878;Al Fujairah City;AE;04
292913;Al Ain City;AE;01
292932;Ajman City;AE;02
292953;Adh Dhayd;AE;06
292968;Abu Dhabi;AE;01
414901;Al Ḩamīdīyah;AE;02
6691109;Knowledge Village;AE;03
7289825;Bur Dubai;AE;03
8057551;Khalifah A City;AE;01
8469788;Dubai Marina;AE;03
8469805;Dubai Sports City;AE;03
8469811;Dubai Internet City;AE;03
8475866;Ar Rumaylah;AE;02
8475913;Mushayrif;AE;02
8475923;Al Jurf;AE;02
8541937;Dubai Festival City;AE;03
8541977;Dubai International Financial Centre;AE;03
10172907;Downtown Dubai;AE;03
11048853;Dubai Investments Park;AE;03
11524601;Jebel Ali;AE;03
12042052;Bani Yas City;AE;01
12042053;Musaffah;AE;01
12047416;Al Shamkhah City;AE;01
12047417;Reef Al Fujairah City;AE;04
12470174;Al Wiqan;AE;01
1120471;Zōr Kōṯ;AF;37
1120473;Wulêswālī Bihsūd;AF;27
1120483;Kuhsān;AF;11
1120484;Lāsh;AF;07
1120487;Tukzār;AF;33
1120497;Bati;AF;18
1120500;Mīray;AF;08
1120501;Āq Kupruk;AF;30
1120543;Zurmat;AF;36
1120616;Zaybāk;AF;01
1120627;Zīārat-e Shāh Maqşūd;AF;23
1120711;Zindah Jān;AF;11
1120863;Zarghūn Shahr;AF;29
1120879;Zaṟah Sharan;AF;29
1120985;Zaranj;AF;19
1121045;Zamtō Kêlay;AF;23
1121271;Yangī Qal‘ah;AF;26
1121381;Bāzār-e Yakāwlang;AF;05
1121418;Yaḩyá Khēl;AF;29
1121855;Wāshēr;AF;10
1122068;Tōrmay;AF;08
1122189;Tūlak;AF;09
1122402;Tītān;AF;09
1122408;Tīr Pul;AF;11
1122464;Taywarah;AF;09
1122705;Bāzār-e Tashkān;AF;01
1122747;Tarinkot;AF;39
1123004;Taloqan;AF;26
1123343;Tagāw-Bāy;AF;33
1123424;Tagāb;AF;14
